input_name,query_used,param,matched_name,ticker,exchange,cik,http_status,endpoint_used,source
Tesco,Tesco,q,N/A,N/A,N/A,,ERR,,none
Mitsubishi UFJ Financial Group,Mitsubishi UFJ Financial Group,q,N/A,N/A,N/A,,ERR,,none
Johnson & Johnson,Johnson & Johnson,q,N/A,N/A,N/A,,ERR,,none
Toronto-Dominion Bank,Toronto-Dominion Bank,q,N/A,N/A,N/A,,ERR,,none
COFCO,COFCO,q,N/A,N/A,N/A,,ERR,,none
China Telecommunications,China Telecommunications,q,N/A,N/A,N/A,,ERR,,none
FedEx,FedEx,q,N/A,N/A,N/A,,ERR,,none
PTT,PTT,q,N/A,N/A,N/A,,ERR,,none
Banco Bilbao Vizcaya Argentaria,Banco Bilbao Vizcaya Argentaria,q,N/A,N/A,N/A,,ERR,,none
SAIC Motor,SAIC Motor,q,N/A,N/A,N/A,,ERR,,none
UBS Group,UBS Group,q,N/A,N/A,N/A,,ERR,,none
E.ON,E.ON,q,N/A,N/A,N/A,,ERR,,none
People's Insurance Co. of China,People's Insurance Co. of China,q,N/A,N/A,N/A,,ERR,,none
Brookfield,Brookfield,q,N/A,N/A,N/A,,ERR,,none
Archer Daniels Midland,Archer Daniels Midland,q,N/A,N/A,N/A,,ERR,,none
Siemens,Siemens,q,N/A,N/A,N/A,,ERR,,none
Enel,Enel,q,N/A,N/A,N/A,,ERR,,none
Sony,Sony,q,N/A,N/A,N/A,,ERR,,none
Procter & Gamble,Procter & Gamble,q,N/A,N/A,N/A,,ERR,,none
Lowe's,Lowe's,q,N/A,N/A,N/A,,ERR,,none
Wuchan Zhongda Group,Wuchan Zhongda Group,q,N/A,N/A,N/A,,ERR,,none
Nissan Motor,Nissan Motor,q,N/A,N/A,N/A,,ERR,,none
Energy Transfer,Energy Transfer,q,N/A,N/A,N/A,,ERR,,none
Groupe BPCE,Groupe BPCE,q,N/A,N/A,N/A,,ERR,,none
RTX,RTX,q,N/A,N/A,N/A,,ERR,,none
Albertsons,Albertsons,q,N/A,N/A,N/A,,ERR,,none
Zhejiang Geely Holding Group,Zhejiang Geely Holding Group,q,N/A,N/A,N/A,,ERR,,none
Engie,Engie,q,N/A,N/A,N/A,,ERR,,none
U.S. Postal Service,U.S. Postal Service,q,N/A,N/A,N/A,,ERR,,none
Sysco,Sysco,q,N/A,N/A,N/A,,ERR,,none
Kia,Kia,q,N/A,N/A,N/A,,ERR,,none
Vinci,Vinci,q,N/A,N/A,N/A,,ERR,,none
Shenghong Holding Group,Shenghong Holding Group,q,N/A,N/A,N/A,,ERR,,none
Seven & I Holdings,Seven & I Holdings,q,N/A,N/A,N/A,,ERR,,none
State Bank of India,State Bank of India,q,N/A,N/A,N/A,,ERR,,none
China FAW Group,China FAW Group,q,N/A,N/A,N/A,,ERR,,none
Jiangxi Copper,Jiangxi Copper,q,N/A,N/A,N/A,,ERR,,none
Shandong Weiqiao Pioneering Group,Shandong Weiqiao Pioneering Group,q,N/A,N/A,N/A,,ERR,,none
JBS,JBS,q,N/A,N/A,N/A,,ERR,,none
Bank of Communications,Bank of Communications,q,N/A,N/A,N/A,,ERR,,none
Progressive,Progressive,q,N/A,N/A,N/A,,ERR,,none
Pacific Construction Group,Pacific Construction Group,q,N/A,N/A,N/A,,ERR,,none
Pertamina,Pertamina,q,N/A,N/A,N/A,,ERR,,none
Uniper,Uniper,q,N/A,N/A,N/A,,ERR,,none
Japan Post Holdings,Japan Post Holdings,q,N/A,N/A,N/A,,ERR,,none
Airbus,Airbus,q,N/A,N/A,N/A,,ERR,,none
American Express,American Express,q,N/A,N/A,N/A,,ERR,,none
Orlen,Orlen,q,N/A,N/A,N/A,,ERR,,none
Deutsche Bank,Deutsche Bank,q,N/A,N/A,N/A,,ERR,,none
Shaanxi Coal & Chemical Industry,Shaanxi Coal & Chemical Industry,q,N/A,N/A,N/A,,ERR,,none
Lloyds Banking Group,Lloyds Banking Group,q,N/A,N/A,N/A,,ERR,,none
ENEOS Holdings,ENEOS Holdings,q,N/A,N/A,N/A,,ERR,,none
Oil & Natural Gas,Oil & Natural Gas,q,N/A,N/A,N/A,,ERR,,none
Lukoil,Lukoil,q,N/A,N/A,N/A,,ERR,,none
Nippon Life Insurance,Nippon Life Insurance,q,N/A,N/A,N/A,,ERR,,none
ING Group,ING Group,q,N/A,N/A,N/A,,ERR,,none
Barclays,Barclays,q,N/A,N/A,N/A,,ERR,,none
Lockheed Martin,Lockheed Martin,q,N/A,N/A,N/A,,ERR,,none
MetLife,MetLife,q,N/A,N/A,N/A,,ERR,,none
Roche Group,Roche Group,q,N/A,N/A,N/A,,ERR,,none
HCA Healthcare,HCA Healthcare,q,N/A,N/A,N/A,,ERR,,none
BASF,BASF,q,N/A,N/A,N/A,,ERR,,none
Koc Holding,Koc Holding,q,N/A,N/A,N/A,,ERR,,none
