input_name,query_used,param,matched_name,ticker,exchange,cik,http_status
COSCO Shipping,COSCO Shipping,q,N/A,N/A,N/A,,200
Caterpillar,Caterpillar,q,N/A,N/A,N/A,,200
Dai-ichi Life Holdings,Dai-ichi Life Holdings,q,N/A,N/A,N/A,,200
LG Electronics,LG Electronics,q,N/A,N/A,N/A,,200
Hitachi,Hitachi,q,N/A,N/A,N/A,,200
Merck,Merck,q,N/A,N/A,N/A,,200
Allstate,Allstate,q,N/A,N/A,N/A,,200
Pfizer,Pfizer,q,N/A,N/A,N/A,,200
Zhejiang Hengyi Group,Zhejiang Hengyi Group,q,N/A,N/A,N/A,,200
IBM,IBM,q,N/A,N/A,N/A,,200
New York Life Insurance,New York Life Insurance,q,N/A,N/A,N/A,,200
ArcelorMittal,ArcelorMittal,q,N/A,N/A,N/A,,200
Assicurazioni Generali,Assicurazioni Generali,q,N/A,N/A,N/A,,200
Delta Air Lines,Delta Air Lines,q,N/A,N/A,N/A,,200
China North Industries Group,China North Industries Group,q,N/A,N/A,N/A,,200
Bouygues,Bouygues,q,N/A,N/A,N/A,,200
China Energy Engineering Group,China Energy Engineering Group,q,N/A,N/A,N/A,,200
Renault,Renault,q,N/A,N/A,N/A,,200
Banco do Brasil,Banco do Brasil,q,N/A,N/A,N/A,,200
Publix Super Markets,Publix Super Markets,q,N/A,N/A,N/A,,200
Anheuser-Busch InBev,Anheuser-Busch InBev,q,N/A,N/A,N/A,,200
Chery Holding Group,Chery Holding Group,q,N/A,N/A,N/A,,200
Mizuho Financial Group,Mizuho Financial Group,q,N/A,N/A,N/A,,200
Jinchuan Group,Jinchuan Group,q,N/A,N/A,N/A,,200
Nationwide,Nationwide,q,N/A,N/A,N/A,,200
Edeka Zentrale,Edeka Zentrale,q,N/A,N/A,N/A,,200
Daimler Truck Holding,Daimler Truck Holding,q,N/A,N/A,N/A,,200
TD Synnex,TD Synnex,q,N/A,N/A,N/A,,200
Bank of Montreal,Bank of Montreal,q,N/A,N/A,N/A,,200
XMXYG,XMXYG,q,N/A,N/A,N/A,,200
Industrial Bank,Industrial Bank,q,N/A,N/A,N/A,,200
United Airlines Holdings,United Airlines Holdings,q,N/A,N/A,N/A,,200
Nippon Steel,Nippon Steel,q,N/A,N/A,N/A,,200
ConocoPhillips,ConocoPhillips,q,N/A,N/A,N/A,,200
Midea Group,Midea Group,q,N/A,N/A,N/A,,200
Tsingshan Holding Group,Tsingshan Holding Group,q,N/A,N/A,N/A,,200
TJX,TJX,q,N/A,N/A,N/A,,200
AbbVie,AbbVie,q,N/A,N/A,N/A,,200
Enterprise Products Partners,Enterprise Products Partners,q,N/A,N/A,N/A,,200
China Pacific Insurance (Group),China Pacific Insurance (Group),q,N/A,N/A,N/A,,200
Guangzhou Automobile Industry Group,Guangzhou Automobile Industry Group,q,N/A,N/A,N/A,,200
Bank of Nova Scotia,Bank of Nova Scotia,q,N/A,N/A,N/A,,200
HBIS Group,HBIS Group,q,N/A,N/A,N/A,,200
Intesa Sanpaolo,Intesa Sanpaolo,q,N/A,N/A,N/A,,200
China Huaneng Group,China Huaneng Group,q,N/A,N/A,N/A,,200
Chubb,Chubb,q,N/A,N/A,N/A,,200
HDFC Bank,HDFC Bank,q,N/A,N/A,N/A,,200
BHP Group,BHP Group,q,N/A,N/A,N/A,,200
Repsol,Repsol,q,N/A,N/A,N/A,,200
Panasonic Holdings,Panasonic Holdings,q,N/A,N/A,N/A,,200
Maersk Group,Maersk Group,q,N/A,N/A,N/A,,200
Tokio Marine Holdings,Tokio Marine Holdings,q,N/A,N/A,N/A,,200
Charter Communications,Charter Communications,q,N/A,N/A,N/A,,200
State Power Investment,State Power Investment,q,N/A,N/A,N/A,,200
PDD Holdings,PDD Holdings,q,N/A,N/A,N/A,,200
Performance Food Group,Performance Food Group,q,N/A,N/A,N/A,,200
American Airlines Group,American Airlines Group,q,N/A,N/A,N/A,,200
China United Network Communications,China United Network Communications,q,N/A,N/A,N/A,,200
AstraZeneca,AstraZeneca,q,N/A,N/A,N/A,,200
Capital One Financial,Capital One Financial,q,N/A,N/A,N/A,,200
POSCO Holdings,POSCO Holdings,q,N/A,N/A,N/A,,200
Cisco Systems,Cisco Systems,q,N/A,N/A,N/A,,200
Rio Tinto Group,Rio Tinto Group,q,N/A,N/A,N/A,,200
HP,HP,q,N/A,N/A,N/A,,200
Phoenix Pharma,Phoenix Pharma,q,N/A,N/A,N/A,,200
Sanofi,Sanofi,q,N/A,N/A,N/A,,200
Tyson Foods,Tyson Foods,q,N/A,N/A,N/A,,200
Bunge Global,Bunge Global,q,N/A,N/A,N/A,,200
Intel,Intel,q,N/A,N/A,N/A,,200
Idemitsu Kosan,Idemitsu Kosan,q,N/A,N/A,N/A,,200
Oracle,Oracle,q,N/A,N/A,N/A,,200
Tata Motors,Tata Motors,q,N/A,N/A,N/A,,200
Broadcom,Broadcom,q,N/A,N/A,N/A,,200
Bharat Petroleum,Bharat Petroleum,q,N/A,N/A,N/A,,200
VTB Bank,VTB Bank,q,N/A,N/A,N/A,,200
Novartis,Novartis,q,N/A,N/A,N/A,,200
Deere,Deere,q,N/A,N/A,N/A,,200
Jinneng Holding Group,Jinneng Holding Group,q,N/A,N/A,N/A,,200
Nike,Nike,q,N/A,N/A,N/A,,200
Dongfeng Motor,Dongfeng Motor,q,N/A,N/A,N/A,,200
Jingye Group,Jingye Group,q,N/A,N/A,N/A,,200
Banco Bradesco,Banco Bradesco,q,N/A,N/A,N/A,,200
Marubeni,Marubeni,q,N/A,N/A,N/A,,200
